,NID,Code,State,Error line,Error
0,d0572176,"a=int(input())
b=int(input())
print('a+b='+(a+b))",Runtime Error,3,Data Type Error
1,d0686491,"a=9,b=3
print""a+b""",Compile Error,2,SyntaxError: invalid syntax
2,d0686491,"a=9
b=3
print""a+b""",Compile Error,3,SyntaxError: invalid syntax
3,d0686491,"a=9
b=3
print ""a+b""",Compile Error,3,SyntaxError: Missing parentheses in call to 'print'
4,d0686491,"a=9
b=3
print ""a+b=""",Compile Error,3,SyntaxError: Missing parentheses in call to 'print'
5,d0686491,"a=9
b=3
print ""a+b="",a+b",Compile Error,3,SyntaxError: Missing parentheses in call to ‘print'
6,d0686491,"a=9
b=3
print a+b",Compile Error,3,SyntaxError: Missing parentheses in call to 'print'
7,d0686491,"a=
b=
print (a+b)",Compile Error,1,SyntaxError: invalid syntax
8,d0686491,"a=
b=
print (a+b=)",Compile Error,1,SyntaxError: invalid syntax
9,d0686491,"a=
b=
print (""a+b="")",Compile Error,1,SyntaxError: invalid syntax
10,d0686491,"a=
b=
print (""a+b="",a+b)",Compile Error,1,SyntaxError: invalid syntax
11,d0686491,"a=
b=
print(""a+b="",a+b)",Compile Error,1,SyntaxError: invalid syntax
12,d0686491,"print(""a+b="",a+b)",Runtime Error,1,Variable or function not defined
13,d0686491,"a=
b=
print (""a+b="",a+b)",Compile Error,1,SyntaxError: invalid syntax
14,d0686491,"a=
b=
print ""a+b="",a+b",Compile Error,1,SyntaxError: invalid syntax
15,d0686491,"a=9
b=3
print (""a+b="",a+b=%d%a+b)",Compile Error,3,SyntaxError: invalid syntax
16,d0686491,"a=
b=
print (""a+b="",a+b=%d%a+b)",Compile Error,1,SyntaxError: invalid syntax
17,d0686491,"a=
b=
print (a+b=%d%a+b)",Compile Error,1,SyntaxError: invalid syntax
18,d0686491,"a=
b=
print (""a+b=%d%a+b"")",Compile Error,1,SyntaxError: invalid syntax
19,d0686491,a+b=%d %(a+b),Compile Error,1,SyntaxError: invalid syntax
20,d0686491,print(a+b=%d %(a+b)),Compile Error,1,SyntaxError: invalid syntax
21,d0686491,"print(""a+b="",a+b=%d %(a+b))",Compile Error,1,SyntaxError: invalid syntax
22,d0686491,"a=
b=
print(""a+b="",a+b=%d %(a+b))",Compile Error,1,SyntaxError: invalid syntax
23,d0686491,"a=
b=
test='a+b=%d %(a+b)'
print(""a+b="",test)",Compile Error,1,SyntaxError: invalid syntax
24,d0686491,"a=
b=
test='a+b=%d %(a+b)'
print('a+b=',test)",Compile Error,1,SyntaxError: invalid syntax
25,d0686491,"a=
b=
test='a+b=%d %(a+b)'
print('a+b=',test)",Compile Error,1,SyntaxError: invalid syntax
26,d0686491,"a=int(input())
b=int(input())
print (""a+b="",a+b0",Compile Error,3,SyntaxError: invalid syntax
27,d0548292,"input('a+b==')
a=9
  b=3",Compile Error,3,IndentationError
28,d0548292,"a=9
  b=3
print(a+b)",Compile Error,2,IndentationError
29,d0536475,"a=input(9)
b=input(3)
print(format(a,b,sum))",Runtime Error,1,SyntaxError: invalid syntax
30,d0536475,"a=input(9)
b=input(3)
sum=float(a)+float(b)  
print(format(a,b,sum))",Runtime Error,1,SyntaxError: invalid syntax
31,d0536475,"a=input(""9"")
b=input(""3"")
sum=float(a)+float(b)  
print(format(a,b,sum))",Runtime Error,1,SyntaxError: invalid syntax
32,d0536475,"a=9
b=3
  print(a+b)",Compile Error,3,IndentationError
33,d0536475,"a=9
b=3
print a+b",Compile Error,3,SyntaxError: Missing parentheses in call to 'print'
34,d0536475,print(a+b),Runtime Error,1,Variable or function not defined
35,d0536475,"a=9

               b=3

               print(""a+b=""+ str(a+b))",Compile Error,3,IndentationError
36,d0536475,"a=int(input())
b=int(input())
print(""a+b=""+(a+b))",Runtime Error,3,Data Type Error
37,d0531257,"a = input()
b = input()
print(""a+b=""{}.format(str(a+b)))",Compile Error,3,SyntaxError: invalid syntax
38,d0531257,"a = input()
b = input()
print(""a+b=""{}.format(str(a+b)))",Compile Error,3,SyntaxError: invalid syntax
39,d0736470,"a=9
b=3
print(""a+b=""a+b)",Compile Error,3,SyntaxError: invalid syntax
40,d0649812,"input(a)
input(b)
print(""a+b="",a+b)",Runtime Error,1,SyntaxError: invalid syntax
41,d0649812,"a=int(input())
b=int(input())
print(""a+b="",+str(a+b))",Runtime Error,1,SyntaxError: invalid syntax
42,d0809724,"a=9
b=3
c=a+b
print(""a+b""c)",Compile Error,4,SyntaxError: invalid syntax
43,d0809724,"a=input(9)
b=input(3)
print(""a+b="",c)",Runtime Error,1,SyntaxError: invalid syntax
44,d0809724,"a=input(9)
b=input(3)
print(""a+b="",c)",Runtime Error,1,SyntaxError: invalid syntax
45,d0809724,"a=int(input(9))
b=int(input(3))
print(""a+b=""+a+b)",Runtime Error,1,SyntaxError: invalid syntax
46,d0809724,"a=9
b=3
print(""a+b=""+(a+b))",Runtime Error,3,Data Type Error
47,d0809724,"a=9
b=3
print(""a+b=""+(a+b))",Runtime Error,3,Data Type Error
48,d0511854,"a=9
b=3
  print(a+b)",Compile Error,3,IndentationError
49,d0511854,"a=9
b=3
  a=a+b
  print(a)",Compile Error,3,IndentationError
50,d0511854,"a=9
b=3
  a+=b
print(a)",Compile Error,3,IndentationError
51,d0715658,"a=int(input())
b=int(input())
str=(a+b)
print(""a+b=""+str)",Runtime Error,3,Data Type Error
52,d0715658,"a=int(input(""""))
b=int(input(""""))
print(""a+b=""+(a+b))",Runtime Error,3,Data Type Error
53,d0527705,"a= input("""")
b= input("""")
print(%d,a+b)",Compile Error,3,SyntaxError: invalid syntax
54,d0527705,"a= input("""")
b= input("""")
print(%d,&a+b)",Compile Error,3,SyntaxError: invalid syntax
55,d0527705,"a = input("""")
b = input("""")

sum=int(a)+int(b)
print(""a+b=""sum)",Compile Error,5,SyntaxError: invalid syntax
56,d0527705,"a = input("""")
b = input("""")

sum=int(a)+int(b)
print(""a+b="".sum)",Runtime Error,5,SyntaxError: invalid syntax
57,d0527705,"a = input("""")
b = input("""")

sum=int(a)+int(b)
print(a+b=sum)",Compile Error,5,SyntaxError: keyword can't be an expression
58,d0549810,"a=input()
b=input()
print(""a+b=""a+b)",Compile Error,3,SyntaxError: invalid syntax
59,d0549810,"a=input()
a=int(a)
b=input()
a=int(b)
print(""a+b=""a+b)",Compile Error,5,SyntaxError: invalid syntax
60,d0549810,"a=input()
a=int(a)
b=input()
b=int(b)
print(""a+b=""a+b)",Compile Error,5,SyntaxError: invalid syntax
61,d0549810,"a=input()
a=int(a)
b=input()
b=int(b)
print(""a+b="",a+b,seq(""""))",Runtime Error,5,Variable or function not defined
62,d0549810,"a=input()
a=int(a)
b=input()
b=int(b)
print(""a+b="",a+b,sep(""""))",Runtime Error,5,Variable or function not defined
63,d0686665,"a = 9
b = 3
print('a+b='+ a+b)",Runtime Error,3,Data Type Error
64,d0686665,"a = ('9
b = ('3
print('a+b=12')",Compile Error,1,SyntaxError: EOL while scanning string literal
65,d0611103,"a = int(input())
b = int(input())
print(""a+b=""+str(a+b)))",Compile Error,3,SyntaxError: invalid syntax
66,d0783087,"a=input()
b=input()
  print(""a+b="",a+b)",Compile Error,3,IndentationError
67,d0783087,"a = input()
  b = input()
  print('a+b=',a+b)",Compile Error,2,IndentationError
68,d0783087,"a = input()
  b = input()
  c = a+b
  aPlusB = ""a+b=""+c
  print(aPlusB)",Compile Error,2,IndentationError
69,d0783087,"#!/usr/bin/python3
  a = input()
  b = input()
  c = a+b
  aPlusB = ""a+b=""+c
  print(aPlusB)",Compile Error,2,IndentationError
70,d0783087,"#!/usr/bin/python3
  a = input()
  b = input()

  print(""a+b="",a+b)",Compile Error,2,IndentationError
